,Member of atleast one grp,Member or participant in sports or recreational organization,"Member or participant in cultural, educational or hobby organization",Member or participant in religious-affiliated group,"Member or participant in school group, neighbourhood, civic or community",Member or participant in humanitarian or charitable organization,Engaged in political activities
"Total, by visible minority group 10",59.3,27.8,19,12.3,15.5,12.6,69.1
Total – Visible minority 11,58.1,22.4,18.9,19.7,18.1,12.3,64.1
South Asian 12,59.3,20.2,21.5,19.5,19,18.2,69.6
Chinese,58.2,27.2,20.5,14.9,19,9.3,60.9
Black,64,25.2,20.1,31.3,21.4,14.1,70.1
Filipino,61.9,18.5,14.3,26.2,16,9.5,47.9
Arab,47.1,18.4,17.9,13,19.4,8.4,66.8
Latin American,60.9,25.3,15.9,22.5,16.6,13.6,65.3
Southeast Asian 13,43.1,14.5,8.6,9.2,14.6,8.2,55.1
Not a visible minority 14,59.7,29.6,19.1,9.8,14.7,12.7,70.9
